participant_id,condition,freq,intensity,target_transition_index,target_transition_number,schedule_target_time_ms,analysis_target_time_ms,schedule_offset_ms,pre_window_ms,post_window_ms,pre_rmse,post_rmse,delta_rmse,peak_deviation,post_auc,n_pre_samples,n_post_samples
1_LMR,LI_LF,LF,LI,2,3,180000,180000,0,5000,5000,3.149768950808452,9.075895888155339,5.926126937346886,16.010755,40.631237185,212,215
1_LMR,HI_LF,LF,HI,2,3,210000,210000,0,5000,5000,3.9660681693074777,16.783137805618754,12.817069636311276,30.226661,70.051517968,217,193
1_LMR,LI_MF,MF,LI,4,5,150000,150000,0,5000,5000,4.12398736326248,11.049240342357843,6.9252529790953625,20.667881,46.3024332535,217,219
1_LMR,HI_MF,MF,HI,4,5,165000,165000,0,5000,5000,5.229025145770166,14.800085501162215,9.57106035539205,29.169084,61.7800387365,219,214
1_LMR,LI_HF,HF,LI,6,7,140000,140000,0,5000,5000,3.4263336121247128,9.30397523901502,5.877641626890307,19.420143,38.418440646,220,210
1_LMR,HI_HF,HF,HI,6,7,150000,150000,0,5000,5000,5.290114271946787,11.477249544069577,6.187135272122791,22.982046,51.254001816999995,216,216
2_CYL,LI_LF,LF,LI,2,3,180000,180000,0,5000,5000,6.3098262831455125,5.8968065181729346,-0.413019764972578,12.567622,25.8313954905,211,205
2_CYL,HI_LF,LF,HI,2,3,210000,210000,0,5000,5000,4.3107095577188845,10.628849174355674,6.318139616636789,23.341133,47.08729357749999,211,219
2_CYL,LI_MF,MF,LI,4,5,150000,150000,0,5000,5000,3.2373865053948188,6.29156065886718,3.054174153472361,13.918883,28.217819095,210,212
2_CYL,HI_MF,MF,HI,4,5,165000,165000,0,5000,5000,5.451637589957151,19.7557092827356,14.30407169277845,39.463047,81.931835148,212,215
2_CYL,LI_HF,HF,LI,6,7,140000,140000,0,5000,5000,8.765038065148902,4.917756668212803,-3.847281396936099,11.7006,21.087849394000003,208,211
2_CYL,HI_HF,HF,HI,6,7,150000,150000,0,5000,5000,3.9421852156989803,14.235527717925963,10.293342502226983,25.372325,61.92880781200001,214,216
