participant_id,condition,freq,intensity,t_transition_ms,from_level,to_level,delta_multiplier,direction,next_transition_ms,n_pre,n_imm,n_rec,pre_mean_dev,pre_sd_dev,imm_mean_dev,delta_dev,rec_mean_dev,peak_dev_0_10s,t_recover_dev_ms,residual_dev_5_10s,residual_dev_10_15s,recover_success
1_LMR,LI_LF,LF,LI,60000,LOW,MID,1.5,up,120000.0,343,216,211,4.232561714285714,2.281303152876696,6.924405523148148,2.6918438088624344,3.400713451591063,17.848886,4262.0,3.400713451591063,6.084638056049213,1
1_LMR,LI_LF,LF,LI,120000,MID,LOW,1.5,down,180000.0,343,216,211,5.211133749271138,2.568416088596073,3.3576477268518516,-1.8534860224192862,-2.7112577871858297,11.18497,308.0,-2.7112577871858297,-2.964619513694215,1
1_LMR,LI_LF,LF,LI,180000,LOW,MID,1.5,up,,346,215,222,2.522516563583815,1.3334208613813647,8.177054237209303,5.654537673625487,5.2560808598396065,16.010755,,5.2560808598396065,2.133926977478987,0
1_LMR,HI_LF,LF,HI,90000,LOW,HIGH,3.0,up,120000.0,346,216,215,3.056587158959538,1.6237793248516312,11.085611504629629,8.029024345670091,9.832545027086974,37.628004,,9.832545027086974,6.047991420479713,0
1_LMR,HI_LF,LF,HI,120000,HIGH,LOW,3.0,down,210000.0,348,217,220,13.401506577586206,8.973466517541176,2.457302465437788,-10.944204112148418,-10.252225950313479,5.053982,0.0,-10.252225950313479,-9.93310660575522,1
1_LMR,HI_LF,LF,HI,210000,LOW,HIGH,3.0,up,,342,193,212,7.693489286549707,6.756369367704293,14.886109683937825,7.192620397388118,6.816774586091804,30.226661,,6.816774586091804,2.778352361337613,0
1_LMR,LI_MF,MF,LI,30000,LOW,MID,1.5,up,60000.0,346,221,217,2.9578839884393062,1.6916010215789383,8.544299004524886,5.58641501608558,1.9928062972749796,20.773055,,1.9928062972749796,2.988993122137618,0
1_LMR,LI_MF,MF,LI,60000,MID,LOW,1.5,down,90000.0,352,214,221,7.8424177585227275,4.1891118078771505,3.0335144859813084,-4.80890327254142,-1.7602326227761216,11.020402,0.0,-1.7602326227761216,-5.091921624263469,1
1_LMR,LI_MF,MF,LI,90000,LOW,MID,1.5,up,120000.0,348,219,218,2.590379091954023,1.892536457307744,6.910171406392694,4.31979231443867,2.8603430089634077,15.2,,2.8603430089634077,10.82092954990644,0
1_LMR,LI_MF,MF,LI,120000,MID,LOW,1.5,down,150000.0,346,218,220,7.383219884393063,3.6039904789527233,6.7173510229357785,-0.6658688614572847,-5.053115207120335,18.994128,452.0,-5.053115207120335,-5.8127929210903115,1
1_LMR,LI_MF,MF,LI,150000,LOW,MID,1.5,up,180000.0,345,219,220,3.942580973913044,1.774751754937637,9.204048744292239,5.261467770379195,4.179470526086956,20.667881,,4.179470526086956,4.851676053993932,0
1_LMR,LI_MF,MF,LI,180000,MID,LOW,1.5,down,210000.0,356,218,221,7.312791553370787,4.398289465677779,8.860665706422019,1.5478741530512314,-4.689032340701104,13.439036,2747.0,-4.689032340701104,-4.653133823138229,1
