metric,intensity,lf_mean,mf_mean,hf_mean,lf_sem,mf_sem,hf_sem,u_contrast,u_t,u_p,n
delta_rmse,LI,6.2535889382855405,6.107143004982258,6.324565138365874,1.16025330381964,0.9177814047054553,1.6065572839781626,0.18193403334344865,0.15082655984186136,0.8822641601067157,15
delta_rmse,HI,15.82640669484396,8.962039917301333,11.722915474626927,2.388983526433451,1.8964986757354323,2.8281181555339368,4.812621167434113,1.9298629239061116,0.07413939426128137,15
peak_deviation,LI,21.708417533333336,22.863493599999995,22.979005599999994,3.027763123132394,3.5666161935424876,3.5230029420306512,-0.5197820333333325,-0.17476555769310598,0.8637660911776931,15
peak_deviation,HI,42.17490480000001,32.999612600000006,35.86277866666667,5.229008485198309,3.6206373694877345,6.59952743578785,6.019229133333334,1.8590245650912314,0.08416978775101257,15
