participant_id,condition,freq,intensity,t_transition_ms,from_level,to_level,delta_multiplier,direction,next_transition_ms,n_pre,n_imm,n_rec,pre_mean_dev,pre_sd_dev,imm_mean_dev,delta_dev,rec_mean_dev,peak_dev_0_10s,t_recover_dev_ms,residual_dev_5_10s,residual_dev_10_15s,recover_success,tail_t_start_ms,tail_n_samples,tail_mean_dev,tail_rmse_dev,tail_std_dev,tail_hit_ratio,tail_time_to_stable_ms,steady_n_samples,steady_mean_dev,steady_rmse_dev,steady_std_dev,steady_hit_ratio,steady_slope_dev,cumulative_delta_dev,mean_recover_success_ratio
1_LMR,LI_LF,LF,LI,240000,MID,TAIL,1.5,down,,343,217,218,7.932597588921284,3.423025168782046,4.348435930875576,-3.5841616580457076,-2.943866726535963,10.515069,0.0,-2.943866726535963,-3.926622058115596,1,240000,1942,3.9398905957775487,4.430966925680834,2.0274935239800618,1.0,0.0,1856,3.9411107128232756,4.440397828246289,2.045673293163886,1.0,-0.02035248881285021,2.164298486689545,0.6666666666666666
1_LMR,HI_LF,LF,HI,240000,HIGH,TAIL,3.0,down,,343,214,218,11.922458303206996,5.42982676974697,4.56328813551402,-7.359170167692977,-6.541237092197822,14.197824,0.0,-6.541237092197822,-7.388302256695368,1,240000,1936,4.332079748450414,5.144270661808159,2.7742757063792274,1.0,798.0,1816,4.271416801762114,5.011542519160644,2.6211747227110433,1.0,-0.02675029767054255,1.425813543636597,0.3333333333333333
1_LMR,LI_MF,MF,LI,240000,MID,TAIL,1.5,down,,353,215,212,5.069747838526912,2.8112301708370926,4.358762986046512,-0.7109848524804008,-1.733337673432573,17.440497,710.0,-1.733337673432573,-1.86366199593432,1,240000,1937,3.6314269168817757,4.2151298236546335,2.140107001439242,1.0,1668.0,1777,3.501494678671919,3.9239824480742542,1.7712067265079627,1.0,0.0009073629697743729,1.574070441388507,0.5714285714285714
1_LMR,HI_MF,MF,HI,240000,HIGH,TAIL,3.0,down,,344,213,214,8.738511220930235,4.823427956725885,4.11157585915493,-4.626935361775305,-6.216608566724627,13.33143,0.0,-6.216608566724627,-6.2709383536316565,1,240000,1937,3.6183451646876614,4.613096746353253,2.861510066450298,1.0,805.0,1814,3.499150851157663,4.421962202258444,2.703644399517984,1.0,0.06281583035254644,-0.21357685928458775,0.5714285714285714
1_LMR,LI_HF,HF,LI,240000,MID,TAIL,1.5,down,,344,216,215,6.177299334302326,2.572689470071492,4.083773587962963,-2.0935257463393633,-0.48043625523255873,11.85949,0.0,-0.48043625523255873,-2.8690047333633584,1,240000,1945,5.219774227763496,6.17568645340652,3.3004636313652678,1.0,231.0,1847,5.225802309149973,6.222024514444614,3.3770666685797823,1.0,-0.00018584773172587512,1.4540617228048514,0.45454545454545453
1_LMR,HI_HF,HF,HI,240000,HIGH,TAIL,3.0,down,,343,216,217,14.449339390670552,10.676915667272652,4.241077865740741,-10.20826152492981,-10.682453593435529,10.025404,0.0,-10.682453593435529,-11.710637937399525,1,240000,1938,3.265690957172343,3.760294538981982,1.8641559999475648,1.0,8377.0,1489,3.0760847629281396,3.531829225758667,1.7353732195710512,1.0,-0.027382050692527745,1.0999051883225397,0.45454545454545453
1_LMR,BASE,BASE,NONE,240000,LOW,TAIL,0.0,down,,346,218,215,3.2996676965317913,1.2883641836402864,5.897889577981651,2.59822188144986,1.9383600383519295,13.709526,,1.9383600383519295,0.3180675830890616,0,240000,1949,5.993960736275013,8.331874569614014,5.787276435057706,1.0,0.0,1865,5.99472788686327,8.406714888759328,5.893733348511076,1.0,0.11421979986052143,,
2_CYL,LI_LF,LF,LI,240000,MID,TAIL,1.5,down,,340,214,213,9.76217593235294,5.233194964497253,4.886952457943925,-4.875223474409015,-6.7227650919773545,12.320047,0.0,-6.7227650919773545,-5.980389441968326,1,240000,1914,4.447694653082549,5.0280248987483604,2.3450046173460644,1.0,1695.0,1756,4.360920595671982,4.907527122977414,2.250820743862758,1.0,0.003870145240195675,3.440673252374458,0.3333333333333333
2_CYL,HI_LF,LF,HI,240000,HIGH,TAIL,3.0,down,,335,211,211,15.940761611940298,10.118910647563714,13.427082578199052,-2.513679033741246,-10.50827116170333,38.294775,606.0,-10.50827116170333,-11.338267970430863,1,240000,1910,5.339845528272251,7.038072039162607,4.584812729287134,1.0,9907.0,1406,4.245565830725463,4.83294339577497,2.309223385413658,1.0,-0.06164371922020205,-0.3358146929809971,0.3333333333333333
2_CYL,LI_MF,MF,LI,240000,MID,TAIL,1.5,down,,346,208,214,12.083601965317918,8.38630506980055,4.586762721153847,-7.496839244164071,-6.8865133157852085,14.939323,0.0,-6.8865133157852085,6.261899534682083,1,240000,1914,7.188268484848486,9.849957559127487,6.734275024555115,1.0,0.0,1830,7.340125480327868,10.035238429544524,6.843140234632695,1.0,-0.11996201252225011,0.1906453443575605,0.42857142857142855
