participant_id,condition,n_events,peak_mean,peak_p95,delta_mean,delta_med,trec_med,trec_mean,recover_success_rate,resid_11_14s_mean,freq,intensity
10_CYW,HI_HF,11,21.07747909090909,34.4924425,-0.27973118433264643,2.772629235322309,0.0,337.3333333333333,0.5454545454545454,-7.3353919732085116,HF,HI
10_CYW,HI_LF,3,49.66120466666666,84.4361539,5.895680453519847,7.544708825698254,189.0,189.0,0.3333333333333333,6.210142675509199,LF,HI
10_CYW,HI_MF,7,49.810410999999995,64.96272619999999,5.756148765602433,5.866423907778593,0.0,486.3333333333333,0.42857142857142855,4.69044994525147,MF,HI
10_CYW,LI_HF,11,19.563099545454545,32.862443,-0.24247003791620145,-1.1709475178673945,306.0,1697.7142857142858,0.6363636363636364,2.117613600815305,HF,LI
10_CYW,LI_LF,3,17.328828333333334,25.7056424,2.1028065299964336,3.590379360545193,0.0,0.0,0.3333333333333333,-0.49020228338475524,LF,LI
10_CYW,LI_MF,7,28.00657857142857,48.54660769999999,-0.9670178645525408,2.839473254825116,0.0,1784.3333333333333,0.8571428571428571,1.7589787287491794,MF,LI
11_QSQ,HI_HF,11,22.597268636363637,37.7461585,0.5458878681787112,5.500361675237759,0.0,0.0,0.45454545454545453,-6.735568395445591,HF,HI
11_QSQ,HI_LF,3,23.352565,32.6019812,2.33890830214767,6.050258824447971,0.0,0.0,0.3333333333333333,2.049591901926294,LF,HI
11_QSQ,HI_MF,7,24.402466428571426,36.043492199999996,2.6393436957625327,4.992306619932385,98.0,434.6666666666667,0.42857142857142855,0.9370045414929289,MF,HI
11_QSQ,LI_HF,11,11.68374772727273,16.1157265,0.4992670543108563,1.181237189377332,0.0,43.2,0.45454545454545453,0.09359717845513682,HF,LI
11_QSQ,LI_LF,3,15.735005000000001,19.001043799999998,2.4065976250143657,3.33887550862347,0.0,0.0,0.3333333333333333,1.3177322971995957,LF,LI
11_QSQ,LI_MF,7,13.274963714285715,17.4481595,0.1891883885501482,1.837273927979304,382.0,1570.8333333333333,0.8571428571428571,0.5475728658928923,MF,LI
12_ZTH,HI_HF,11,46.20321709090909,72.589686,4.505231091638085,8.284972471525546,0.0,1953.3333333333333,0.5454545454545454,-11.690135108369896,HF,HI
12_ZTH,HI_LF,3,50.63973933333333,66.3103603,10.9450641710551,16.184292424570494,0.0,0.0,0.3333333333333333,-1.0010434520729679,LF,HI
12_ZTH,HI_MF,7,39.164772142857146,56.6510817,0.09376980976531131,12.891645993815503,0.0,0.0,0.42857142857142855,4.807457224065651,MF,HI
