participant_id,condition,n_events,peak_mean,peak_p95,imm_mean,rec_mean,delta_mean,delta_med,trec_med,trec_mean,recover_success_rate,resid_5_10s_mean,freq,intensity
10_CYW,HI_HF,11,21.07747909090909,34.4924425,8.520421187093719,0.954159407894018,-0.27973118433264643,2.772629235322309,0.0,337.3333333333333,0.5454545454545454,0.954159407894018,HF,HI
10_CYW,HI_LF,3,49.66120466666666,84.4361539,17.42516789825871,5.575957222854705,5.895680453519847,7.544708825698254,189.0,189.0,0.3333333333333333,5.575957222854705,LF,HI
10_CYW,HI_MF,7,49.810410999999995,64.96272619999999,22.523722540675,0.17811922415666462,5.756148765602433,5.866423907778593,0.0,486.3333333333333,0.42857142857142855,0.17811922415666462,MF,HI
10_CYW,LI_HF,11,19.563099545454545,32.862443,8.72096779380295,-1.3266568013836553,-0.24247003791620145,-1.1709475178673945,153.0,560.5,0.5454545454545454,-1.3266568013836553,HF,LI
10_CYW,LI_LF,3,17.328828333333334,25.7056424,8.37004526431659,0.6055556101734226,2.1028065299964336,3.590379360545193,0.0,0.0,0.3333333333333333,0.6055556101734226,LF,LI
10_CYW,LI_MF,7,28.00657857142857,48.54660769999999,14.051437390286718,-3.6069738698776255,-0.9670178645525408,2.839473254825116,0.0,1784.3333333333333,0.8571428571428571,-3.6069738698776255,MF,LI
11_QSQ,HI_HF,11,22.597268636363637,37.7461585,8.176820284657248,2.126748901222885,0.5458878681787112,5.500361675237759,0.0,0.0,0.45454545454545453,2.126748901222885,HF,HI
11_QSQ,HI_LF,3,23.352565,32.6019812,8.637320275511568,0.679172966581629,2.33890830214767,6.050258824447971,0.0,0.0,0.3333333333333333,0.679172966581629,LF,HI
11_QSQ,HI_MF,7,24.402466428571426,36.043492199999996,9.950823911236474,1.4415426272191658,2.6393436957625327,4.992306619932385,98.0,434.6666666666667,0.42857142857142855,1.4415426272191658,MF,HI
11_QSQ,LI_HF,11,11.68374772727273,16.1157265,5.3880274544162,0.38473142124086235,0.4992670543108563,1.181237189377332,0.0,43.2,0.45454545454545453,0.38473142124086235,HF,LI
11_QSQ,LI_LF,3,15.735005000000001,19.001043799999998,5.985243431660892,3.68816922484999,2.4065976250143657,3.33887550862347,0.0,0.0,0.3333333333333333,3.68816922484999,LF,LI
11_QSQ,LI_MF,7,13.274963714285715,17.4481595,5.330201382389049,0.49237064627889865,0.1891883885501482,1.837273927979304,382.0,1570.8333333333333,0.8571428571428571,0.49237064627889865,MF,LI
12_ZTH,HI_HF,11,46.20321709090909,72.589686,20.47977034649151,1.7720995124806231,4.505231091638085,8.284972471525546,0.0,193.2,0.45454545454545453,1.7720995124806231,HF,HI
12_ZTH,HI_LF,3,50.63973933333333,66.3103603,27.421947106370926,1.316275393298639,10.9450641710551,16.184292424570494,0.0,0.0,0.3333333333333333,1.316275393298639,LF,HI
12_ZTH,HI_MF,7,39.164772142857146,56.6510817,18.095301644629867,0.41922363701565246,0.09376980976531131,12.891645993815503,0.0,0.0,0.42857142857142855,0.41922363701565246,MF,HI
12_ZTH,LI_HF,11,41.944131545454546,57.60702,19.773498523454222,0.7589894527811297,4.448491344321032,4.9311872065295255,604.0,1456.4285714285713,0.6363636363636364,0.7589894527811297,HF,LI
